Results from Equal-Weighted Portfolio Sorts of Excess Returns in t+3 of Equity-Related Hedge Funds Based on UP in t,,,,,,,
Year,Month,Future Return in % (t+3) PF1,Future Return in % (t+3) PF2,Future Return in % (t+3) PF3,Future Return in % (t+3) PF4,Future Return in % (t+3) PF5,Strategy: PF5 Minus PF1 in %
2001,8,-0.94581,-1.15644,-1.43367,-0.07938,-1.26759,-0.32178
2001,9,-1.88186,-6.33421,-2.39102,-4.68468,-3.45993,-1.57806
2001,10,2.01001,0.79549,1.00551,2.33171,2.05415,0.04415
2001,11,1.16896,2.60355,2.93690,2.34597,2.50752,1.33856
2001,12,0.82357,1.00227,2.21875,2.40914,2.36215,1.53858
2002,1,-0.12697,-0.88735,0.35142,-0.47619,0.17533,0.30230
2002,2,-3.10914,-0.17817,-1.13482,-0.95745,-1.91192,1.19721
2002,3,1.95261,1.96940,2.48859,2.88723,0.96841,-0.98420
2002,4,0.27760,-0.20206,-2.12414,-0.56755,-0.16445,-0.44206
2002,5,-0.44705,-0.59432,-0.12674,-1.38462,-0.41152,0.03553
2002,6,-1.53308,-4.90234,-1.97737,-2.19678,-3.42687,-1.89380
2002,7,-3.71092,-3.54624,-3.90292,-3.51832,-3.77730,-0.06638
2002,8,-0.17018,0.42901,0.59080,-0.17679,1.10236,1.27254
2002,9,-2.18840,-2.49165,-2.02724,-1.39425,-2.03402,0.15438
2002,10,-0.16031,-0.06553,1.42505,0.45348,1.93255,2.09286
2002,11,1.69586,2.05143,1.95869,2.91209,5.79832,4.10246
2002,12,-0.48806,-1.25201,-1.06010,-0.42335,-1.72511,-1.23705
2003,1,-0.14945,0.93346,0.03353,-0.06183,1.05981,1.20926
2003,2,-0.91083,-0.76171,-0.62434,-0.80744,-0.67961,0.23123
2003,3,-0.06351,-0.21260,0.58392,0.37226,0.44413,0.50764
2003,4,3.21531,3.97938,3.56912,2.74656,3.32511,0.10980
2003,5,5.76288,3.71075,3.89073,5.03521,6.61037,0.84748
2003,6,1.37376,0.65330,1.71266,1.11891,0.82141,-0.55235
2003,7,0.80829,0.54184,1.70070,1.19264,-0.09884,-0.90714
2003,8,0.73586,0.16015,1.27133,1.71931,3.09061,2.35475
2003,9,0.12012,0.80842,0.08644,0.62139,0.85254,0.73242
2003,10,2.13794,3.07389,2.02929,3.76788,3.61806,1.48012
2003,11,1.17228,0.90551,1.29769,1.14830,0.99414,-0.17814
2003,12,3.15497,1.34303,1.25897,1.32706,2.73006,-0.42491
2004,1,2.86725,2.68810,1.35592,2.18212,1.87169,-0.99556
2004,2,1.26629,0.82596,0.93055,0.93106,1.63573,0.36944
2004,3,0.15976,0.43653,0.52957,0.34046,-0.30480,-0.46456
2004,4,-1.50187,-2.54886,-1.11423,-1.99806,-3.47019,-1.96832
2004,5,-0.44007,-0.19907,0.60828,-0.32527,0.53748,0.97755
2004,6,1.12486,0.69569,0.73830,0.98608,1.60045,0.47559
2004,7,-2.50370,-2.05270,-1.79147,-1.61994,-0.96003,1.54367
2004,8,0.15650,-0.32372,0.39364,-0.24256,-0.74310,-0.89959
2004,9,2.21342,1.22642,1.84742,2.25822,2.33482,0.12139
2004,10,1.02845,0.84673,0.97732,0.38481,0.67457,-0.35387
2004,11,4.10876,3.62059,2.88927,3.58811,3.21020,-0.89856
2004,12,1.24403,1.51494,1.57011,2.51913,1.48998,0.24595
2005,1,-1.49980,-1.54180,-1.11378,-0.69343,-1.43269,0.06711
2005,2,0.48809,0.80324,1.90388,0.71978,2.89797,2.40988
2005,3,-1.52984,-1.24621,-1.08567,-1.16101,-2.00483,-0.47499
2005,4,-1.96426,-2.55315,-2.00406,-2.28964,-2.46416,-0.49990
2005,5,1.52003,1.59267,1.71614,1.49908,0.97792,-0.54211
2005,6,1.08059,1.82441,1.65369,1.23292,2.35558,1.27499
2005,7,2.82621,2.71532,2.44073,2.61106,2.13781,-0.68840
2005,8,0.63489,0.26691,0.17931,-0.06123,0.51591,-0.11898
